Corner,vsup,temperature,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,Pass/Fail,"VDC(""/net13"")"
C0_90,2.6,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.726
C0_91,2.6,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.73
C0_92,2.6,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.732
C0_93,2.6,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.732
C0_94,2.6,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.731
C0_95,2.6,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.73
C0_96,2.6,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.726
C0_97,2.6,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.722
C0_98,2.6,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.718
C0_99,2.6,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.712
C0_100,2.6,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.706
C0_101,2.6,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.7
C0_102,2.8,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.067
C0_103,2.8,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.063
C0_104,2.8,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.054
C0_105,2.8,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.045
C0_106,2.8,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.035
C0_107,2.8,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.025
C0_108,2.8,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.015
C0_109,2.8,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.005
C0_110,2.8,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.994
C0_111,2.8,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.984
C0_112,2.8,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.973
C0_113,2.8,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.962
C0_114,2.8,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.95
C0_115,2.8,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.939
C0_116,2.8,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.927
C0_117,2.8,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.915
C0_118,2.8,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.903
C0_119,3,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.208
C0_120,3,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.202
C0_121,3,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.19
C0_122,3,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.178
C0_123,3,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.165
C0_124,3,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.153
C0_125,3,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.141
C0_126,3,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.128
C0_127,3,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.116
C0_128,3,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.103
C0_129,3,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.09
C0_130,3,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.077
C0_131,3,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.064
C0_132,3,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.051
C0_133,3,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.038
C0_134,3,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.025
C0_135,3,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.012
C0_136,1.6,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_137,1.6,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6136
C0_138,1.6,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5908
C0_139,1.6,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
C0_140,1.6,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5452
C0_141,1.6,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5222
C0_142,1.6,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_143,1.6,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_144,1.6,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.453
C0_145,1.6,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4298
C0_146,1.6,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4065
C0_147,1.6,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3831
C0_148,1.6,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3597
C0_149,1.6,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3363
C0_150,1.6,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3129
C0_151,1.6,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2893
C0_152,1.6,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2657
C0_153,1.8,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_154,1.8,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6136
C0_155,1.8,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5908
C0_156,1.8,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
C0_157,1.8,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5452
C0_158,1.8,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5222
C0_159,1.8,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_160,1.8,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_161,1.8,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4529
C0_162,1.8,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4298
C0_163,1.8,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4065
C0_164,1.8,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3832
C0_165,1.8,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3597
C0_166,1.8,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3363
C0_167,1.8,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3128
C0_168,1.8,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2892
C0_169,1.8,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2657
C0_170,2,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
